Text,CB_Label,clean_text
damn there is someones nana up here at beach with one. dont think ic an steal and get to you quickly tho ;(,0,damn someone nana beach not think ic steal quickly tho
no kidding! dick clark was a corpse mechanically operated by the advertising companies,0,kidding ! dick clark corpse mechanically operate advertising company
i read an article on jobros and thought damn we should cash in on our jobro pokemon. Perfect stocking stuffers haha,0,read article jobros think damn cash jobro pokemon perfect stocking stuffer haha
"I got one fucking day of sprinkles and now it's back to sunshine and douchebaggery.""",0,get fucking day sprinkle sunshine douchebaggery
I was already listening to Elliott smith  and I fucking hate kanye west. He's not a valid artist or human in my eyes,0,listen elliott smith fucking hate kanye west valid artist human eye
I told Derek to go fuck himself  Devyn told us to calm down,0,tell derek fuck devyn tell calm
I'm watching the new Smosh video and laughing my ass off.,0,watch new smosh video laugh ass
My mom didn't like Catholicism because the idea of being a sinner from birth irked her  and she loves gay people  so yeah.,0,mom like catholicism idea sinner birth irk love gay people yeah
ya i know! lol AND big thunder mountain broke down! i only got 2 ride it once! i got a ton of bad luck. i think u stole it! bitch!,0,ya know ! lol big thunder mountain break ! get ride ! get ton bad luck think u steal ! bitch !
"lucky bitch.....""",0,lucky bitch
hate the auto DMs  there's no better way to show that you don't actually care about your followers than to put it on autopilot,0,hate auto dms well way actually care follower autopilot
Top Notch click!  DONT HATE hater!  u mad cuz u broke  using a playstation as a cd player.,0,notch click ! not hate hater ! u mad cuz u break playstation cd player
question  where the fuck is my father!? he has been MIA for like two days!,0,question fuck father ! ? mia like day !
Fair enough  will get my ass around to doing it sometime later. Your voice has changed  btw :P,0,fair ass later voice change btw p
yeah that seems like he got some bitch in him somewhere or he could be brainwashed. I got a forum right now thats going in on BEY,0,yeah like get bitch brainwash get forum right s go bey
See it too A friend of mine uses acai berry but for medical purposes. {shrugs} Damn @ her being hella skinny. I may try... Maybe,0,friend use acai berry medical purpose shrug damn hella skinny try maybe
How can you hate Hugh Laurie!?,0,hate hugh laurie ! ?
... First thing I would do is go to the bathroom because I most likely piss myself.,0,thing bathroom likely piss
Um... I hate birds. Bleech!,0,um hate bird bleech !
Yes. Take the damn pickles. I'm glad we've been talking virtually every possible moment. I have a feeling it will ciontinue.,0,yes damn pickle glad talk virtually possible moment feeling ciontinue
mmm nice. problem is - i hate reading blogs in hebrew. i can read them but it takes me longer and i have ADD,0,mm nice problem hate read blog hebrew read take long add
awww. cum playz. we makin finger paintz on da wallz kinda.,0,URL cum playz makin finger paintz da wallz kinda
I seriously hate insects/bugs of all kinds :( even ants... wish there was some... anti-bug thing I could stick at my door and -,0,seriously hate insectsbug kind ant wish antibug thing stick door
but yeah it sucks Bl there's 25 maps and wanting to get on a specific one takes forever if you're unlucky. orz.,0,yeah suck bl map want specific take forever unlucky orz
Haha  that's a long-ass tail!,0,haha longass tail !
When was the first ICS? Was Emo Jesus created yet? was prior to March 22  2007 (1st live tattoo show),0,ic ? emo jesus create ? prior march st live tattoo
 you whore!,0,whore !
awe man that sucks... I mean that's awesome!!,0,awe man suck mean awesome ! !
only if you promise to not make me look emo or like a raccoon ;},0,promise look emo like raccoon
i'll give you a suprise if you catch up to me by christmas. Lol! Your followers would hate you :P,0,suprise catch christmas lol ! follower hate p
Yeah...you'd have to post exactly.........a LOT of fucking tweets a day Hahaha &lt;3,0,yeahyou post exactlya lot fucking tweet day hahaha lt
I feel you but I also feel where they are coming from too  esp if the money is good. Damn do I sound like a sell out? lol,0,feel feel come esp money good damn sound like sell ? lol
Lol I say gay all the time in the gay way and I'm pretty gay.. gay gay gay gay..  I hope more people get offended,0,lol gay time gay way pretty gay gay gay gay gay hope people offend
LOL damn.. for some underwear.. thats dedication,0,lol damn underwear s dedication
I hate that!! If you're on a roll w/ writing I'd stay home =) Unless its something crazyyy going on,0,hate ! ! roll w writing stay home crazyy go
dammnn! Long ass day lol,0,dammnn ! long ass day lol
damn theres really no females like that lol. have fun for me thoughh,0,damn s female like lol fun thoughh
" i was bored by her.  i was sitting there like a nerd like ""oh thats interesting""",0,bore sit like nerd like oh s interesting
I don't hate you  promise,0,hate promise
girl these kids are lazy these days  you gotta stay on them.  my oldest is a neat freak  but those other two..... DAMN!,0,girl kid lazy day get to stay old neat freak damn !
GIRL YOU MADE ME SPIT!!! ROFLMAO!!!! YOU ARE TOO DAMN MUCH!!!!!!!!!,0,girl spit ! ! roflmao ! ! damn ! !
Hahaha I'm sure Bronx can beat some ass. I saw his bass on the internet. It's not as bad as some other names I've heard,0,hahaha sure bronx beat ass see bass internet bad name hear
Awwww! That sucks when that happens  be strong love,0,url suck happen strong love
ooo ok. Thanks this is a good time for me to be ill. Sucks i cant call out...too much work,0,oo ok thank good time ill suck not outtoo work
"""Is it duncan  if it's I'm gonna be so....hug him...because I love him"" Backing out of the hate quotes? =P",0,duncan go to sohug himbecause love back hate quote ? p
Thank you. I'm sorry  did you e-mail me already? I seem to have misplaced it if you did. I am a loser.,0,thank sorry email ? misplace loser
I fucking forgot it. So mad. Just have my phone.,0,fucking forget mad phone
somewhere quiet....goin to the mountains..and i hate to say this but that Nuvo shyt is nasty,0,quietgoin mountainsand hate nuvo shyt nasty
funny how folks get mad @ southern kids makin up dance songs..then a grown ass man does it and its all good cos he prod ether,0,funny folk mad southern kid makin dance songsthen grow ass man good cos prod ether
You're lucky you're not currently in Bethlehem. Try having to constantly hear it. I hate it more! And the tourists suck worse.,0,lucky currently bethlehem try have constantly hear hate ! tourist suck bad
ive also made yarn and synth hair braid ones. Can wear as pig tails or one big pony tail,0,ve yarn synth hair braid one wear pig tail big pony tail
:-( That sucks... I've got pretty muscular calves from dancing but usually do okay with the lace ups.,0,suck get pretty muscular calf dance usually okay lace up
its gay. Went to sleep at 3. Come and ill make Haha,0,gay go sleep come ill haha
@sspitsbergen here's hoping the fuck has to duck shoes for the rest of his natural born life.,0,USER hope fuck duck shoe rest natural bear life
@blackslashwhite LOL fuck you guys wish I was hanging out somewhere cool http://tinyurl.com/a4nst2,0,USER lol fuck guy wish hang cool url
good  have some for me... im maintaining sobriety for the night... sucks.. as a matter of fact  have three.,0,good m maintain sobriety night suck matter fact
fight camilla then bitch!,0,fight camilla bitch !
she sucks. :),0,suck
OMG I hate when that happens :(,0,omg hate happen
Damn son  you drive a tank? It costs me less than $25.,0,damn son drive tank ? cost
Now you can talk about how your wife bugs you to stop playing games all the damn time when you write your reviews! Congrats!,0,talk wife bug stop play game damn time write review ! congrat !
I should know better by now  but I'm really thinking about picking up that new Lumines... Damn you  Mizuguchi.,0,know well think pick new lumine damn mizuguchi
- can be quite a rough routine but I'm gonna rock out with my cock out! Doctors orders &#9824;,0,rough routine go to rock cock ! doctor order
- u can't help but fucking love women like that! Damn &#9824;,0,u help fuck love woman like ! damn
- Damn right! So wats the 501 on twinkle town? &#9824;,0,damn right ! wat twinkle town ?
furthermore they do have gtalk integration  what twitter couldn't handle and some kick ass rooms.. very interesting..,0,furthermore gtalk integration twitter handle kick ass room interesting
actually  Andre is more squirrely than the Kia. I hate it a lot.,0,actually andre squirrely kia hate lot
omg dude i'm sorry! that really sucks! wear pants or opaque tights! 1 time i ran into a fire hydrant (yeah...) & was bruised 4eva,0,omg dude sorry ! suck ! wear pant opaque tight ! time run fire hydrant yeah bruise eva
damn... please teach me to be as awesome as you...,0,damn teach awesome
i would hate to be the twat thats being twitted. *ehem*ehem* but then again  its better than being the cunt thats called,0,hate twat s twit ehemehem well cunt s call
In CA right now  and it's wonderfully warm. My father tells me it's cold and miserable in Ohio right now  though. Sucks to be him.,0,right wonderfully warm father tell cold miserable ohio right suck
It's fucking brilliant  is what I think.,0,fucking brilliant think
I hate that I always do that I don't interact with anyone at family things like that.,0,hate interact family thing like
um how does a big fat no sound,0,um big fat sound
